requirement_id,subsystem,specification,specification_version,clause,table,requirement_summary,production_function,independent_reference,runtime_evidence,unit_test,implementation_status
PH4-OWN-001,RRC/MAC,TS 38.331,TS38331_anchor_profile_r2024a constrained SIB1 profile,n/a,n/a,UE random-access common configuration is installed from decoded SIB1 rather than YAML,+sixgr/+mac/+ra/installDecodedSIB1RACHConfig.m,+sixgr/+rrc/+asn1/decodeSIB1UPER.m,control/csv/rach_config_from_decoded_sib1.csv,tests/testSIB1ToFourStepRAIntegration.m,implemented_for_anchor_profile
PH4-OWN-002,RRC/MAC,TS 38.331,TS38331_anchor_profile_r2024a constrained SIB1 profile,n/a,n/a,Initial UL BWP evidence is recorded from decoded SIB1,+sixgr/+mac/+ra/installDecodedSIB1RACHConfig.m,+sixgr/+rrc/+asn1/compareSIB1Trees.m,reports/csv/phase4_decoded_config_ownership_audit.csv,tests/testSIB1ToFourStepRAIntegration.m,implemented_for_anchor_profile
PH4-OWN-003,RRC/MAC,TS 38.331,TS38331_anchor_profile_r2024a constrained SIB1 profile,n/a,n/a,PRACH Msg1 SCS is carried in the supported SIB1 anchor profile and recovered before RA,+sixgr/+rrc/+asn1/encodeSIB1UPER.m;+sixgr/+rrc/+asn1/decodeSIB1UPER.m,+sixgr/+rrc/+asn1/buildBCCHDLSCHMessage.m,control/csv/rach_config_from_decoded_sib1.csv,tests/testSIB1ASN1RoundTrip.m,implemented_for_anchor_profile
PH4-OWN-004,RRC/MAC,TS 38.331,TS38331_anchor_profile_r2024a constrained SIB1 profile,n/a,n/a,Restricted-set ownership is decoded and unrestricted-only support fails closed,+sixgr/+rrc/+asn1/buildBCCHDLSCHMessage.m;+sixgr/+rrc/+asn1/validateSIB1ForScenario.m,+sixgr/+mac/+ra/installDecodedSIB1RACHConfig.m,control/csv/rach_config_from_decoded_sib1.csv,tests/testSIB1ASN1RoundTrip.m;tests/testSIB1ToFourStepRAIntegration.m,implemented_unrestricted_only
PH4-GUARD-001,MAC RA,TS 38.321,official 3GPP archive/DynaReport current 2026-06-23,n/a,n/a,Phase 4 RA must fail closed if decoded SIB1 ownership is required but absent,+sixgr/+phy/+ra/runFourStepRA.m,tests/testSIB1ToFourStepRAIntegration.m,n/a,tests/testSIB1ToFourStepRAIntegration.m,implemented
PH4-MSG1-001,PRACH PHY,TS 38.211;TS 38.213,official 3GPP archive/DynaReport current 2026-06-23,n/a,n/a,Msg1 PRACH waveform generation and blind detection use configured candidate search space,+sixgr/+phy/+ra/generateMsg1PRACHWaveform.m;+sixgr/+phy/+ra/detectMsg1PRACH.m,+sixgr/+rach/PRACHConfig.m,control/csv/msg1_prach_detection.csv,tests/testMsg1PRACHWaveformDetection.m,existing_anchor
PH4-RAR-001,MAC/PDCCH/PDSCH,TS 38.212;TS 38.213;TS 38.321,official 3GPP archive/DynaReport current 2026-06-23,n/a,n/a,RAR PDCCH/PDSCH and MAC RAR are generated and decoded in the four-step anchor,+sixgr/+phy/+ra/generateMsg2RARWaveform.m;+sixgr/+phy/+ra/recoverMsg2RAR.m,+sixgr/+mac/+ra/decodeMACRAR.m,control/csv/msg2_rar_trials.csv,tests/testMsg2RARWaveformDecode.m,existing_anchor
PH4-MSG3-001,Msg3 PUSCH/RRC,TS 38.212;TS 38.214;TS 38.321;TS 38.331,official 3GPP archive/DynaReport current 2026-06-23,n/a,n/a,Msg3 uses decoded RAR UL grant and carries an anchor RRCSetupRequest payload,+sixgr/+phy/+ra/generateMsg3PUSCHWaveform.m;+sixgr/+mac/+ra/buildMsg3Payload.m,+sixgr/+phy/+ra/recoverMsg3PUSCH.m,control/csv/msg3_pusch_trials.csv,tests/testMsg3PUSCHFromRARGrant.m,existing_anchor
PH4-MSG4-001,Msg4 contention resolution,TS 38.321;TS 38.331,official 3GPP archive/DynaReport current 2026-06-23,n/a,n/a,Msg4 contention identity comparison controls RA success and C-RNTI promotion,+sixgr/+phy/+ra/generateMsg4Waveform.m;+sixgr/+phy/+ra/recoverMsg4Waveform.m,+sixgr/+mac/+ra/parseMsg4ContentionResolution.m,control/csv/msg4_contention_resolution.csv,tests/testMsg4ContentionResolution.m,existing_anchor
PH4-PENDING-001,PRACH tables,TS 38.213,official 3GPP archive/DynaReport current 2026-06-23,PRACH configuration tables,various,All PRACH configuration-table rows are not yet implemented as versioned machine-readable data,n/a,n/a,n/a,n/a,pending_fail_closed
PH4-PENDING-002,Full scenario RA,TS 38.321,official 3GPP archive/DynaReport current 2026-06-23,n/a,n/a,Two-UE CDL/RF Phase 4 integration run and collision/capture lineage are not yet complete,n/a,n/a,n/a,n/a,pending
