Component,Existing file,Current implementation,PHY-accurate,Action
PUSCH transmitter,+sixgr/+phy/+ul/PUSCH_Tx.m,"TB CRC; LDPC segmentation/encoding; rate matching; scrambling; QAM; layer/port mapping; optional transform precoding; DM-RS/PT-RS; grid; OFDM",yes,"Reuse unchanged behind core LLS runner"
PUSCH receiver,+sixgr/+phy/+ul/PUSCH_Rx.m,"OFDM; channel estimate; equalizer; soft nrPUSCHDecode LLR; rate recovery; LDPC decode; TB CRC",yes_for_qualified_paths,"Reuse AWGN perfect-unit-channel path first; qualify fading oracle separately"
PDSCH transmitter,+sixgr/+phy/+dl/PDSCH_Tx.m,"Actual DL-SCH CRC/LDPC/rate matching; PDSCH scrambling/modulation/layers/precoding; DM-RS/PT-RS; resource grid; OFDM",yes_for_qualified_awgn_profile,"Reused by the fixed-MCS PDSCH LLS adapter; fading and high-rank qualification remains separate"
PDSCH receiver,+sixgr/+phy/+dl/PDSCH_Rx.m,"OFDM; practical DM-RS channel estimate; equalization; soft nrPDSCHDecode LLR; rate recovery; LDPC decode; TB CRC",yes_for_qualified_awgn_practical_profile,"AWGN practical-estimator waveform gate passes; do not claim a PDSCH perfect-fading oracle yet"
LDPC,+sixgr/+phy/+phycode/ldpcEncode.m; +sixgr/+phy/+phycode/ldpcDecode.m,"Actual NR LDPC wrappers",yes,"Reuse"
Rate matching,+sixgr/+phy/+phycode/rateMatchLDPC.m; +sixgr/+phy/+phycode/rateRecoverLDPC.m,"Actual NR rate match/recovery",yes,"Reuse"
TB CRC and segmentation,+sixgr/+phy/+tb/attachCRC.m; +sixgr/+phy/+tb/segmentLDPC.m; +sixgr/+phy/+tb/desegmentLDPC.m,"Actual TB/code-block processing",yes,"Reuse"
OFDM,+sixgr/+phy/+waveform/ofdmModulate.m; +sixgr/+phy/+waveform/ofdmDemodulate.m,"Canonical 5G Toolbox OFDM waveform transforms",yes,"Reuse and retain calibration metadata"
DFT-s-OFDM,+sixgr/+phy/+ul/PUSCH_Tx.m; +sixgr/+phy/+ul/PUSCH_Rx.m,"Transform-precoded PUSCH path",yes_for_existing_tests,"Qualify after CP-OFDM reference"
DM-RS,+sixgr/+phy/+refsig/dmrsPUSCH.m,"Actual nrPUSCHDMRS symbols and indices",yes,"Reuse and expose exact RE accounting"
PT-RS,+sixgr/+phy/+grid/allocREsPUSCH.m,"Config-driven PUSCH PT-RS mapping",partial,"Disabled explicitly in first baseline; add a dedicated qualified profile later"
Noise calibration,+sixgr/+conformance/addReferenceNoise.m,"One occupied-grid Es/N0 authority with calibrated OFDM variance transform",yes,"Reuse and add measured-SNR trial evidence"
AWGN channel,+sixgr/+phy/+ul/PUSCH_Rx.m,"Explicit unit-flat channel plus independently generated calibrated waveform noise",yes_for_SISO,"First qualified baseline"
TDL/CDL,+sixgr/+lls/applyChannel.m,"Isolated nrTDLChannel/nrCDLChannel waveform filters with path-gain-derived exact per-RE true channel",yes_for_qualified_profiles,"SISO TDL-C/CDL-C and 2x2 CDL-C focused gates pass"
Channel estimation,+sixgr/+phy/+rx/channelEstimate.m,"Exact perfect-CSI oracle or practical DM-RS nrChannelEstimate selected explicitly",yes_for_qualified_profiles,"Separate perfect and practical CDL-C gates pass; no scalar fading estimate"
MIMO equalizer,+sixgr/+phy/+rx/mimoDetect.m,"ZF/MMSE/IRC resource-domain detector",yes_for_rank2_perfect_csi,"2x2 rank-2 CDL-C waveform gate passes; expand rank/estimator matrix later"
HARQ,+sixgr/+harq; +sixgr/+phy/+harq,"HARQ state and combining exist",not_in_first_baseline,"Keep disabled and report first-transmission BLER separately"
Legacy throughput runner,+sixgr/+link/runULPUSCHThroughput.m,"Waveform PHY plus scheduler/control/campaign responsibilities",mixed,"Do not use as clean core LLS orchestrator"
Geometry runtime,+sixgr/+channel/buildScenarioGeometry.m,"Topology/placement/link-budget wrapper",system_level,"Keep outside core LLS and never use it to manufacture fixed-SNR BLER"
Result integrity,+sixgr/+truth; +sixgr/+report,"Large full-stack truth and artifact contracts",mixed_for_core_LLS,"Add compact waveform-LLS truth contract with no fallback rows"
Core LLS orchestration,+sixgr/+lls/runLLS.m,"Fixed-SNR adaptive actual-TB execution for PUSCH and PDSCH",yes_for_qualified_profiles,"New implementation; extend only through gated validation ladder"
A/B comparison,+sixgr/+lls/compare.m,"Two waveform runs with matched bit/noise/channel seeds; interpolation-only gain table; pairing evidence and PNG/CSV provenance",yes_for_qualified_profiles,"Identity A/B gate passes; candidate algorithms must alter only the declared block"
YAML authority,configs/lls/pusch_reference.yaml; configs/lls/pdsch_reference.yaml,"Self-contained per-link configuration with no geometry/system inputs",yes,"New production reference authorities"
