issue_id,severity,area,category,summary,evidence,impact,recommended_fix,source,fix_status,fix_commit_or_patch,regression_test,verification_artifact
AUD-001,critical,standards_claim,result_status,Strict anchor cannot claim broad 3GPP/6G conformance while enabled mandatory blocks are partial or unavailable,"Prompt audit item 1 and item 15: ResultOk=1 coexists with many REVIEW_REQUIRED and unavailable rows.",Misleading conformance claim and unsafe acceptance of non-truth results,Split run completion from conformance gates and fail closed on active mandatory issues,C:\Users\Administrator\Downloads\6GR_Codex_10of10_fix_prompt.md,open,pending,testLLSRuntimeTruthContractGates,docs/standards/conformance_matrix.md
AUD-002,high,configured_effective_binding,scenario_objective,Configured fixed operating point can collapse to lower effective rank/modulation/MCS without failing scenario objective,"Prompt audit item 2: configured DL/UL rank=2 256QAM MCS20 collapsed to rank/layer 1 QPSK/MCS1 with 0% exact match.",Configured scenario target is not achieved but may still look successful,Gate fixed-anchor ResultOk/ScenarioObjectiveOk on configured-vs-effective match threshold,C:\Users\Administrator\Downloads\6GR_Codex_10of10_fix_prompt.md,open,pending,testLLSStrictConformanceIssueGates,reports/csv/scenario_summary.csv
AUD-015,high,rrc_sib1,implementation_gap,SIB1/RRC path is not waveform-decoded ASN.1,"Prompt audit item 3: old payloadStruct/default SIB1 shortcut removed; constrained SIB1 ASN.1 profile added; R2024a public PDCCH/DCI APIs reject/crash on SI-RNTI 65535 so exact waveform closure remains blocked.",SIB1 evidence is not standards-faithful waveform evidence until a repo-owned SI-RNTI-capable PDCCH encoder/decoder is implemented,Implement custom SI-RNTI 0xFFFF PDCCH/DCI polar CRC/scrambling path then enable strict positive SIB1 waveform artifacts,C:\Users\Administrator\Downloads\6GR_Codex_10of10_fix_prompt.md,open,partial_fail_closed_si_rnti_boundary,testSIB1ASN1RoundTrip;testMIBSIB1Recovery;testSIB1WaveformRecoveryAWGN;testSIB1TruthContractStrictGate,docs/lls/sib1_waveform_recovery.md
AUD-RA-001,high,random_access,implementation_gap,PRACH is preamble detection only and not full four-step random access,"Prompt audit item 4: PRACH simplified waveform preamble detection gate, not full RA.",Access success can be overclaimed,Implement MSG1-MSG4 with RA-RNTI/RAR/contention resolution evidence or fail strict anchor,C:\Users\Administrator\Downloads\6GR_Codex_10of10_fix_prompt.md,fixed,working_tree_ra_four_step_anchor,"testRAConfigBinding;testMsg1PRACHWaveformDetection;testFourStepRASuccessAWGN;testMsg2RARWaveformDecode;testMsg3PUSCHFromRARGrant;testMsg4ContentionResolution;testRANegativeWrongRARNTI;testRANegativeRARWindowExpiry;testRANegativeRAPIDMismatch;testRANegativeMsg3CrcFail;testRANegativeMsg4IdentityMismatch;testRACollisionSamePreamble;testRAOracleGuard;testRAArtifactSchemas","control/csv/ra_attempts.csv;control/csv/msg1_prach_detection.csv;control/csv/msg2_rar_trials.csv;control/csv/msg3_pusch_trials.csv;control/csv/msg4_contention_resolution.csv;reports/json/msg2_rar_decoded.json"
AUD-PRACH-001,high,prach,strict_gate,Restricted-set PRACH support and NCS validation are not complete,"Strict PRACH mini anchor now uses real PRACH waveform generation/detection, long-sequence unrestricted/type A/type B N_CS validation, ZCZ/root-budget/collision/multi-occasion/false-alarm/missed-detection/timing/frequency/negative/oracle evidence, and a truth gate that rejects skipped/proxy/simplified PRACH rows.",Invalid PRACH configurations can pass,Keep unsupported PRACH profiles fail-closed and expand format coverage only with waveform evidence,C:\Users\Administrator\Downloads\6GR_Codex_10of10_fix_prompt.md,fixed,working_tree_prach_strict_waveform_validation,"testPRACHLLS;testPRACHConfigStrictValidation;testPRACHWaveformGeneration;testPRACHWaveformDetectionPositive;testPRACHRestrictedSetMapping;testPRACHMissedDetectionSweep;testPRACHFalseAlarmSweep;testPRACHTimingOffsetSweep;testPRACHFrequencyOffsetRestrictedSet;testPRACHCollisionAndMultiPreamble;testPRACHMultiOccasionRARNTI;testPRACHNegativeWrongConfig;testPRACHOracleGuard;testPRACHArtifactSchemas;testTruthValidationControlCoverage;testLLSRuntimeTruthContractGates;testLLSStrictConformanceIssueGates","configs/lls/lls_prach_strict_mini_anchor.yaml;control/csv/prach_config_strict.csv;control/csv/prach_trials.csv;control/csv/prach_restricted_set_mapping.csv;control/csv/prach_missed_detection_sweep.csv;control/csv/prach_false_alarm_sweep.csv;control/csv/prach_oracle_guard.csv;docs/lls/prach_waveform_validation.md"
AUD-PDCCH-001,high,pdcch,strict_gate,PDCCH detection lacked negative blind-decode and false-alarm evidence,"Strict PDCCH mini anchor now uses real nrDCIEncode/nrPDCCH/nrPDCCHResources/nrPDCCHDecode/nrDCIDecode waveform execution through the repo Tx/Rx path, exports CORESET/search-space config, candidate rows, DCI field equality, decoded-grant validation, wrong-RNTI/no-signal/corruption/wrong-format/invalid-grant negative evidence, false-alarm and low-SNR sweeps, and an oracle guard. The truth contract rejects old all-one metric-only PDCCH rows for strict PDCCH.",Control decode quality can be overclaimed if old study rows are reused,"Keep unsupported DCI/RNTI/search-space combinations fail-closed; expand DCI 1_1/0_1 and SI/RA integration only with equivalent waveform evidence.",C:\Users\Administrator\.codex\attachments\00e5ba91-493f-443a-ab3d-8df6294c8728\pasted-text.txt,fixed,working_tree_pdcch_strict_waveform_blind_decode,"testPDCCHConfigStrictValidation;testPDCCHWaveformGeneration;testPDCCHBlindDecodePositiveDCI10;testPDCCHBlindDecodePositiveDCI00;testPDCCHWrongRNTIReject;testPDCCHNoSignalFalseAlarm;testPDCCHCorruptedPDCCHReject;testPDCCHCandidateBlindSearch;testPDCCHWrongDCIFormatReject;testPDCCHInvalidGrantReject;testPDCCHFalseAlarmSweep;testPDCCHLowSNRSweep;testPDCCHOracleGuard;testPDCCHArtifactSchemas;testPDCCHGrantReferencePropagation;testPDCCH6GR","configs/lls/lls_pdcch_strict_mini_anchor.yaml;control/csv/pdcch_config_strict.csv;control/csv/pdcch_trials.csv;control/csv/pdcch_candidates.csv;control/csv/pdcch_dci_fields.csv;control/csv/pdcch_grant_validation.csv;control/csv/pdcch_wrong_rnti_trials.csv;control/csv/pdcch_no_signal_trials.csv;control/csv/pdcch_false_alarm_sweep.csv;control/csv/pdcch_low_snr_sweep.csv;control/csv/pdcch_oracle_guard.csv;docs/lls/pdcch_blind_detection.md"
AUD-PDSCH-001,high,pdsch,kpi_health,DL PDSCH can have high BLER/BER while overall run is OK,"Prompt audit item 6.",Bad physical link outcome can be hidden behind run-completion success,Gate scenario objective and conformance on BLER/BER thresholds configured for anchor,C:\Users\Administrator\Downloads\6GR_Codex_10of10_fix_prompt.md,open,pending,testLLSRuntimeTruthContractGates,reports/csv/live_error_rate_summary.csv
AUD-KPI-UL-GOODPUT,high,kpi_summary,cross_table_consistency,UL goodput summary can disagree with raw PUSCH/grant evidence,"Prompt audit item 7: UL raw trial max goodput differs from lls_kpi_summary.csv.",Charts and summary can misrepresent UL behavior,Derive summary strictly from raw trials/grants and fail on mismatch,C:\Users\Administrator\Downloads\6GR_Codex_10of10_fix_prompt.md,open,pending,testLLSSummaryRawConsistency,reports/csv/summary_vs_raw_consistency.csv
AUD-UL-SINR-001,high,pusch,receiver_semantics,UL post-equalization SINR can pin near 0 dB despite higher receiver Hest SINR,"Prompt audit item 8.",Scheduler and CQI can adapt from inconsistent receiver evidence,Fix post-eq noise/SINR lineage and gate mismatches,C:\Users\Administrator\Downloads\6GR_Codex_10of10_fix_prompt.md,open,pending,testPostEqSINR,air_interface/csv/ul_pusch_trials.csv
AUD-TRS-001,medium,trs,reference_signal,TRS may pass when timing detection/tracking was not attempted,"Prompt audit item 9.",Tracking-reference success can be fabricated by skipped work,Require attempted/available timing and frequency tracking state before pass,C:\Users\Administrator\Downloads\6GR_Codex_10of10_fix_prompt.md,open,pending,testTRSReferenceSignalExecution,reports/csv/reference_signal_runtime.csv
AUD-SRS-001,medium,srs,reference_signal,SRS success can hide partial-carrier coverage,"Prompt audit item 10.",UL channel-sounding claims can exceed observed coverage,Export coverage scope and gate strict success on configured BWP/full-carrier promise,C:\Users\Administrator\Downloads\6GR_Codex_10of10_fix_prompt.md,open,pending,test6GCSIReportingCoverage,air_interface/csv/srs_trials.csv
AUD-MIMO-RANK-001,high,mimo_beam,scenario_evidence,Antenna/MIMO/rank evidence does not prove advertised multi-antenna rank anchor,"Prompt audit item 11: evidence does not support advertised 64T/4R rank-2 anchor.",Scenario claims can exceed actual waveform behavior,Validate rank/layer/antenna evidence against configured claim or downgrade scenario,C:\Users\Administrator\Downloads\6GR_Codex_10of10_fix_prompt.md,open,pending,test6GLLSMultiUserBeamforming,beamforming/csv/beamforming_runtime.csv
AUD-PLOT-001,medium,visual_artifacts,result_integrity,Many plots are unavailable/suppressed or generated from misleading source semantics,"Prompt audit item 12 and previous visual artifact tasks.",Charts can look like real results while source data is absent/proxy/diagnostic,Enforce visual artifact contract and audit tool in CI,C:\Users\Administrator\Downloads\6GR_Codex_10of10_fix_prompt.md,open,pending,tests/test_audit_lls_visual_artifacts.py,reports/csv/visual_artifact_audit.csv
AUD-ARTIFACT-DUP-001,medium,artifact_storage,efficiency,Large PRACH CSV artifacts can be duplicated byte-for-byte,"Prompt audit item 13.",Storage bloat and ambiguous source of truth,Content-address or suppress duplicated debug artifacts unless configured,C:\Users\Administrator\Downloads\6GR_Codex_10of10_fix_prompt.md,open,pending,tools/audit/audit_lls_visual_artifacts.py,reports/csv/artifact_inventory.csv
AUD-PY-MYSQL-001,high,dashboard,dependency,Python dashboard imports mysql.connector unconditionally,"Prompt audit item 14 and current static scan: apps/lls_web_dashboard.py imported mysql.connector at module import before this patch.",Python tests and filesystem-only dashboard use can fail without optional MySQL package,Make MySQL optional and degrade database routes gracefully,C:\Users\Administrator\Downloads\6GR_Codex_10of10_fix_prompt.md,fixed,pending,tests/test_lls_dashboard_optional_mysql.py,apps/lls_web_dashboard.py
