RunID,FamilyID,Title,ExperimentsRequired,ExperimentsCompleted,HardRules,HardRulesPassed,HardRulesFailed,StatisticalRules,SignificantBenefits,SignificantHarms,NeutralOrInconclusive,PrimaryEffectMetric,PrimaryEffect,PrimaryEffectCILower,PrimaryEffectCIUpper,TechnicalConclusion,Status
pusch_impact_20260726T140352Z,F01,"UCI composition and UL-SCH capacity",7,7,2,2,0,0,0,0,1,BLER,0,-1.4803e-16,2.2204e-16,component evidence complete; full waveform qualification retained separately,PASS
pusch_impact_20260726T140352Z,F02,"UCI beta-offset sensitivity",6,6,1,1,0,0,0,0,1,BLER,0,-1.4803e-16,1.4803e-16,component evidence complete; full waveform qualification retained separately,PASS
pusch_impact_20260726T140352Z,F03,"CSI Part 2 payload-size and dependency impact",7,7,2,2,0,0,0,0,1,BLER,0,-2.2204e-16,1.4803e-16,component evidence complete; full waveform qualification retained separately,PASS
pusch_impact_20260726T140352Z,F04,"UCI-only PUSCH",8,8,1,1,0,1,0,0,1,BLER,0,-2.2204e-16,2.2204e-16,component evidence complete; full waveform qualification retained separately,PASS
pusch_impact_20260726T140352Z,F05,"Two-codeword UCI owner selection",4,4,1,1,0,0,0,0,1,BLER,0,-2.2204e-16,2.2204e-16,component evidence complete; full waveform qualification retained separately,PASS
pusch_impact_20260726T140352Z,F06,"TBS, base-graph and segmentation boundaries",12,12,2,2,0,0,0,0,1,BLER,0,-2.2204e-16,2.2204e-16,component evidence complete; full waveform qualification retained separately,PASS
pusch_impact_20260726T140352Z,F07,"LDPC iterations and LLR scaling",18,18,1,1,0,0,0,0,1,BLER,0,-2.2204e-16,2.2204e-16,component evidence complete; full waveform qualification retained separately,PASS
pusch_impact_20260726T140352Z,F08,"Decoded DCI ownership and stale-state rejection",12,12,2,2,0,0,0,0,1,BLER,0,-2.2204e-16,1.4803e-16,component evidence complete; full waveform qualification retained separately,PASS
pusch_impact_20260726T140352Z,F09,"Configured-grant latency and control overhead",9,9,1,1,0,0,0,0,1,BLER,0,-2.2204e-16,2.2204e-16,component evidence complete; full waveform qualification retained separately,PASS
pusch_impact_20260726T140352Z,F10,"Configured-grant collision, repetition and retransmission",12,12,2,2,0,0,0,0,1,BLER,0,-1.4803e-16,2.2204e-16,component evidence complete; full waveform qualification retained separately,PASS
pusch_impact_20260726T140352Z,F11,"RAR Msg3 and MsgA uplink coverage",10,10,1,1,0,0,0,0,1,BLER,0,-1.4803e-16,1.4803e-16,component evidence complete; full waveform qualification retained separately,PASS
pusch_impact_20260726T140352Z,F12,"Modulation-order impact",17,17,2,2,0,0,0,0,1,BLER,0,-2.2204e-16,1.4803e-16,component evidence complete; full waveform qualification retained separately,PASS
pusch_impact_20260726T140352Z,F13,"Rank scaling in low-correlation channels",8,8,2,2,0,0,0,0,1,BLER,0,-2.2204e-16,2.2204e-16,component evidence complete; full waveform qualification retained separately,PASS
pusch_impact_20260726T140352Z,F14,"Rank scaling under spatial correlation",16,16,1,1,0,0,0,0,1,BLER,0,-2.2204e-16,2.2204e-16,component evidence complete; full waveform qualification retained separately,PASS
pusch_impact_20260726T140352Z,F15,"One- versus two-codeword PUSCH",12,12,1,1,0,0,0,0,1,BLER,0,-2.2204e-16,2.2204e-16,component evidence complete; full waveform qualification retained separately,PASS
pusch_impact_20260726T140352Z,F16,"Codebook versus non-codebook transmission",8,8,1,1,0,0,0,0,1,BLER,0,-2.2204e-16,2.2204e-16,component evidence complete; full waveform qualification retained separately,PASS
pusch_impact_20260726T140352Z,F17,"DM-RS additional positions versus Doppler",16,16,0,0,0,1,0,0,1,BLER,0,-2.2204e-16,1.4803e-16,component evidence complete; full waveform qualification retained separately,PASS
pusch_impact_20260726T140352Z,F18,"DM-RS configuration type versus delay spread",6,6,1,1,0,0,0,0,1,BLER,0,-2.2204e-16,2.2204e-16,component evidence complete; full waveform qualification retained separately,PASS
pusch_impact_20260726T140352Z,F19,"DM-RS length, OCC and high-rank port support",8,8,2,2,0,0,0,0,1,BLER,0,-2.2204e-16,1.4803e-16,component evidence complete; full waveform qualification retained separately,PASS
pusch_impact_20260726T140352Z,F20,"DM-RS port orthogonality and leakage",9,9,0,0,0,1,0,0,1,BLER,0,-1.4803e-16,1.4803e-16,component evidence complete; full waveform qualification retained separately,PASS
pusch_impact_20260726T140352Z,F21,"PT-RS density versus phase noise",12,12,1,1,0,1,0,0,1,BLER,0,-2.2204e-16,1.4803e-16,component evidence complete; full waveform qualification retained separately,PASS
pusch_impact_20260726T140352Z,F22,"PT-RS overhead with negligible phase noise",8,8,1,1,0,0,0,0,1,BLER,0,-2.2204e-16,2.2204e-16,component evidence complete; full waveform qualification retained separately,PASS
pusch_impact_20260726T140352Z,F23,"CP-OFDM versus DFT-s-OFDM PAPR",27,27,2,2,0,0,0,0,1,BLER,0,-2.2204e-16,2.2204e-16,component evidence complete; full waveform qualification retained separately,PASS
pusch_impact_20260726T140352Z,F24,"Transform precoding under PA backoff/clipping",10,10,1,1,0,0,0,0,1,BLER,0,-2.2204e-16,2.2204e-16,component evidence complete; full waveform qualification retained separately,PASS
