CategoryCode,CategoryKey,CategoryName,MetricKey,MetricName,Entity,Statistic,Availability,CountsTowardCoverage,ValueNumeric,ValueText,Unit,SourceArtifact,Notes
"O","ai_ml_outputs","AI/ML outputs","model_parameters","model parameters","ai_ml","parameter_count","disabled",0,0,"0","parameters","meta/scenario_config_resolved.json","Model parameter count is promoted only when the runtime AI path emits model-load telemetry. Descriptor-side parameter counts remain config_only because they are not measured inference metadata."
"O","ai_ml_outputs","AI/ML outputs","ai_flops","FLOPs","ai_ml","flops","disabled",0,1000000,"1000000","flops","meta/scenario_config_resolved.json","AI FLOPs are promoted only when the runtime AI path emits measured execution-cost metadata. Configured FLOPs budgets remain config_only."
"O","ai_ml_outputs","AI/ML outputs","memory_footprint","memory footprint","ai_ml","memory_budget","disabled",0,0,"0","configured_units","meta/scenario_config_resolved.json","AI memory footprint is promoted only when the runtime AI path emits measured memory telemetry. Configured memory budgets remain config_only."
"O","ai_ml_outputs","AI/ML outputs","operation_frequency","operation frequency","ai_ml","configured_mode","disabled",0,NaN,"slot","","meta/scenario_config_resolved.json","AI operation frequency is exported from actual benchmark metadata when available, otherwise from the resolved inference-frequency policy and effective invocation rate for the run."
"O","ai_ml_outputs","AI/ML outputs","operation_frequency","operation frequency","ai_ml","effective_rate_hz","disabled",0,0,"0","invocations_per_s","meta/scenario_config_resolved.json","AI operation frequency is exported from actual benchmark metadata when available, otherwise from the resolved inference-frequency policy and effective invocation rate for the run."
"O","ai_ml_outputs","AI/ML outputs","ai_inference_latency","inference latency","ai_ml","configured_budget_us","disabled",0,1000,"1000","us","meta/scenario_config_resolved.json","Inference latency is promoted only when the active AI path emits measured runtime latency telemetry. Configured latency budgets remain config_only and do not count as measured AI execution evidence."
"O","ai_ml_outputs","AI/ML outputs","ai_inference_latency","inference latency","ai_ml","effective_us","disabled",0,0,"0","us","meta/scenario_config_resolved.json","Inference latency is promoted only when the active AI path emits measured runtime latency telemetry. Configured latency budgets remain config_only and do not count as measured AI execution evidence. AI/ML is disabled in this scenario, so effective inference latency is zero."
"O","ai_ml_outputs","AI/ML outputs","generalization_bands","generalization across bands","bands","enabled_flag","disabled",0,0,"{""enabled"":false}","flag","meta/scenario_config_resolved.json","AI generalization coverage is exported from the resolved config for the current scenario."
"O","ai_ml_outputs","AI/ML outputs","generalization_bands","generalization across bands","bands","configured_scope","disabled",0,NaN,"{""enabled"":false}","","meta/scenario_config_resolved.json","AI generalization coverage is exported from the resolved config for the current scenario."
"O","ai_ml_outputs","AI/ML outputs","generalization_speeds","generalization across speeds","speeds","enabled_flag","disabled",0,0,"{""enabled"":false}","flag","meta/scenario_config_resolved.json","AI generalization coverage is exported from the resolved config for the current scenario."
